time,sim2real,rid,cid,gid,mode,battery,critical
51.0,0.5,5,-1,-1,1,26.5,False
51.0,0.5,6,-1,-1,1,37.125,False
54.0,0.5,0,-1,-1,1,28.0,False
54.0,0.5,1,-1,-1,1,30.75,False
54.0,0.5,2,-1,-1,1,39.5,False
54.0,0.5,3,-1,-1,1,37.5,False
54.0,0.5,4,-1,-1,1,26.875,False
54.0,0.5,5,300,0,0,41.5,False
54.0,0.5,6,-1,-1,1,34.625,False
57.0,0.5,0,-1,-1,1,25.5,False
57.0,0.5,1,-1,-1,1,28.25,False
57.0,0.5,2,-1,-1,1,37.0,False
57.0,0.5,3,-1,-1,1,35.0,False
57.0,0.5,4,300,0,0,41.875,False
57.0,0.5,5,-1,-1,1,39.0,False
57.0,0.5,6,-1,-1,1,32.125,False
60.0,0.5,0,300,0,0,40.5,False
60.0,0.5,1,-1,-1,1,25.75,False
60.0,0.5,2,-1,-1,1,34.5,False
60.0,0.5,3,-1,-1,1,32.5,False
60.0,0.5,4,-1,-1,1,39.375,False
60.0,0.5,5,-1,-1,1,36.5,False
60.0,0.5,6,-1,-1,1,29.625,False
63.0,0.5,0,-1,-1,1,38.0,False
63.0,0.5,1,300,0,0,40.75,False
63.0,0.5,2,-1,-1,1,32.0,False
63.0,0.5,3,-1,-1,1,30.0,False
63.0,0.5,4,-1,-1,1,36.875,False
63.0,0.5,5,-1,-1,1,34.0,False
63.0,0.5,6,-1,-1,1,27.125,False
66.0,0.5,0,-1,-1,1,35.5,False
66.0,0.5,1,-1,-1,1,38.25,False
66.0,0.5,2,-1,-1,1,29.5,False
66.0,0.5,3,-1,-1,1,27.5,False
66.0,0.5,4,-1,-1,1,34.375,False
66.0,0.5,5,-1,-1,1,31.5,False
66.0,0.5,6,300,0,0,42.125,False
69.0,0.5,0,-1,-1,1,33.0,False
69.0,0.5,1,-1,-1,1,35.75,False
69.0,0.5,2,-1,-1,1,27.0,False
69.0,0.5,3,300,0,0,42.5,False
69.0,0.5,4,-1,-1,1,31.875,False
69.0,0.5,5,-1,-1,1,29.0,False
69.0,0.5,6,-1,-1,1,39.625,False
72.0,0.5,0,-1,-1,1,30.5,False
72.0,0.5,1,-1,-1,1,33.25,False
